 written on 25Nov2024 at 14:44:44 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    1    3   -0.11607460E-04  0.27258509E-03
    2    3   -0.24606956E-01  0.15371880E-02
    3    3   -0.10877538E-01  0.22753594E-05
    4    3    0.88446987E-03  0.44512683E-03
    5    3    0.25698157E-01 -0.13530451E-02
    6    3    0.20621067E-01 -0.40844025E-02
    1    4    0.99718942E-02 -0.70848522E-02
    2    4   -0.81244120E-04  0.18973505E-04
    3    4    0.71274114E-03 -0.58913170E-03
    4    4   -0.10656036E-01 -0.18706526E-04
    5    4    0.80226744E-04 -0.67292886E-04
    6    4   -0.52000983E-04  0.26968444E-04
    1    5   -0.17842856E-03 -0.32201669E-04
    2    5   -0.23695959E-03  0.46939130E-04
    3    5    0.46957550E-01  0.64963783E-02
    4    5    0.11996382E-03  0.54098169E-04
    5    5   -0.14487872E-02 -0.92723408E-03
    6    5   -0.67219328E-03  0.45985953E-03
    1    6   -0.20948130E-04 -0.17037841E-04
    2    6    0.25384935E-03 -0.89554887E-04
    3    6    0.21275981E-01  0.52552008E-02
    4    6   -0.56483366E-04 -0.33924437E-05
    5    6   -0.75569127E-03  0.29518003E-03
    6    6   -0.14302914E-02 -0.85019266E-03

   -4   -4    0
    1    1    0.47366690E-02  0.13500304E-06
    2    1    0.60843664E-04  0.40939106E-04
    3    1    0.48806020E-03  0.30712499E-03
    4    1    0.82847853E-02  0.44613202E-02
    5    1   -0.28397970E-04  0.45149195E-04
    6    1    0.91009079E-04 -0.51171220E-04
    1    2    0.71757926E-04 -0.28468302E-04
    2    2    0.72503098E-04  0.20331915E-04
    3    2    0.36481459E-01 -0.74349856E-02
    4    2   -0.16060691E-03  0.30022617E-05
    5    2   -0.26429848E-02  0.15460145E-02
    6    2   -0.18846680E-02  0.36204762E-03
    1    3   -0.20436968E-03 -0.12280202E-03
    2    3   -0.14902056E-01 -0.52613695E-02
    3    3   -0.56648818E-02 -0.39956525E-04
    4    3   -0.89115977E-03 -0.44137405E-03
    5    3   -0.20674718E-01 -0.19922171E-02
    6    3   -0.38259333E-01  0.13931706E-01
    1    4    0.82919031E-02 -0.44655882E-02
    2    4    0.72277080E-04 -0.47466355E-04
    3    4    0.24365201E-03  0.17540438E-03
    4    4   -0.69923507E-02 -0.15438804E-05
    5    4    0.14619589E-04 -0.43232944E-04
    6    4    0.50172456E-04 -0.24500465E-04
    1    5   -0.29569121E-03  0.90378224E-05
    2    5    0.19034062E-02  0.33820815E-04
    3    5   -0.13385217E-01 -0.46770791E-02
    4    5    0.24583353E-03  0.14748564E-03
    5    5    0.13768665E-02  0.99448011E-03
    6    5    0.21066004E-02 -0.12430779E-03
    1    6    0.58259096E-04 -0.42696553E-04
    2    6    0.26466852E-02  0.17773088E-02
    3    6    0.21507694E-01  0.10065244E-01
    4    6    0.17345628E-04 -0.24265337E-05
    5    6   -0.39673858E-04 -0.15749062E-04
    6    6    0.14768206E-02 -0.97344662E-03

   -4   -3    0
    1    1    0.10911361E-01 -0.52125898E-04
    2    1   -0.66761812E-04  0.29551594E-04
    3    1   -0.77927916E-03 -0.27531581E-03
    4    1   -0.47136467E-02 -0.34583588E-02
    5    1    0.25132689E-03  0.22337943E-04
    6    1    0.24069697E-05 -0.47986026E-04
    1    2    0.25724229E-05 -0.98474423E-04
    2    2    0.21889799E-02  0.59483108E-03
    3    2    0.24973563E-01 -0.43741668E-02
    4    2    0.97662245E-04  0.32056293E-04
    5    2    0.60365131E-04  0.38165995E-04
    6    2    0.36288909E-02 -0.30460734E-03
    1    3    0.76608364E-04 -0.13365124E-03
    2    3    0.40488525E-01  0.72228361E-02
    3    3    0.12818336E-01 -0.43259866E-03
    4    3   -0.46858361E-03 -0.18838983E-03
    5    3   -0.13676328E-01  0.69971574E-02
    6    3    0.10664011E-01 -0.88580786E-02
    1    4   -0.83503195E-02  0.39701890E-02
    2    4    0.46675378E-05 -0.21650088E-04
    3    4   -0.20082487E-02  0.23251017E-03
    4    4    0.46494140E-02  0.48509090E-04
    5    4   -0.16659225E-03  0.56555545E-04
    6    4   -0.30615327E-04  0.47926538E-04
    1    5   -0.27144823E-03  0.63198698E-04
    2    5   -0.92057548E-03 -0.50844875E-03
    3    5   -0.29350754E-01 -0.13871919E-01
    4    5    0.74033879E-04  0.23999581E-04
    5    5    0.11359270E-02 -0.70861549E-03
    6    5    0.44045274E-03  0.32789529E-03
    1    6   -0.16922215E-03  0.29589292E-04
    2    6   -0.23357045E-02 -0.18154909E-02
    3    6   -0.55414058E-01 -0.51917305E-02
    4    6    0.74606533E-04  0.54082053E-04
    5    6    0.20535985E-02 -0.10055374E-02
    6    6    0.35197306E-02  0.54999988E-03

   -4   -2    0
    1    1    0.15945986E-01 -0.32192156E-03
    2    1   -0.44785682E-05 -0.15166220E-04
    3    1   -0.41708995E-03 -0.40296996E-04
    4    1   -0.47073274E-02 -0.34617353E-02
    5    1    0.26876869E-03  0.10227252E-03
    6    1    0.27436744E-04 -0.25617067E-04
    1    2   -0.15726141E-03  0.65266629E-04
